Number: 1; Pokemon: bulbasaur; Give: 1SpA; Photo https://pokemongolife.ru/p/Bulbasaur.png;
Number: 2; Pokemon: ivysaur; Give: 1SpA, 1SpD; Photo https://pokemongolife.ru/p/Ivysaur.png;
Number: 3; Pokemon: venusaur; Give: 2SpA, 1SpD; Photo https://pokemongolife.ru/p/Venusaur.png;
Number: 4; Pokemon: charmander; Give: 1Spe; Photo https://pokemongolife.ru/p/Charmander.png;
Number: 5; Pokemon: charmeleon; Give: 1SpA, 1Spe; Photo https://pokemongolife.ru/p/Charmeleon.png;
Number: 6; Pokemon: charizard; Give: 3SpA; Photo https://pokemongolife.ru/p/Charizard.png;
Number: 7; Pokemon: squirtle; Give: 1Def; Photo https://pokemongolife.ru/p/Squirtle.png;
Number: 8; Pokemon: wartortle; Give: 1Def, 1SpD; Photo https://pokemongolife.ru/p/Wartortle.png;
Number: 9; Pokemon: blastoise; Give: 3SpD; Photo https://pokemongolife.ru/p/Blastoise.png;
Number: 10; Pokemon: caterpie; Give: 1HP; Photo https://pokemongolife.ru/p/Caterpie.png;
Number: 11; Pokemon: metapod; Give: 2Def; Photo https://pokemongolife.ru/p/Metapod.png;
Number: 12; Pokemon: butterfree; Give: 2SpA, 1SpD; Photo https://pokemongolife.ru/p/Butterfree.png;
Number: 13; Pokemon: weedle; Give: 1Spe; Photo https://pokemongolife.ru/p/Weedle.png;
Number: 14; Pokemon: kakuna; Give: 2Def; Photo https://pokemongolife.ru/p/Kakuna.png;
Number: 15; Pokemon: beedrill; Give: 2Atk, 1SpD; Photo https://pokemongolife.ru/p/Beedrill.png;
Number: 16; Pokemon: pidgey; Give: 1Spe; Photo https://pokemongolife.ru/p/Pidgey.png;
Number: 17; Pokemon: pidgeotto; Give: 2Spe; Photo https://pokemongolife.ru/p/Pidgeotto.png;
Number: 18; Pokemon: pidgeot; Give: 3Spe; Photo https://pokemongolife.ru/p/Pidgeot.png;
Number: 19; Pokemon: rattata; Give: 1Spe; Photo https://pokemongolife.ru/p/Rattata.png;
Number: 20; Pokemon: raticate; Give: 2Spe; Photo https://pokemongolife.ru/p/Raticate.png;
Number: 21; Pokemon: spearow; Give: 1Spe; Photo https://pokemongolife.ru/p/Spearow.png;
Number: 22; Pokemon: fearow; Give: 2Spe; Photo https://pokemongolife.ru/p/Fearow.png;
Number: 23; Pokemon: ekans; Give: 1Atk; Photo https://pokemongolife.ru/p/Ekans.png;
Number: 24; Pokemon: arbok; Give: 2Atk; Photo https://pokemongolife.ru/p/Arbok.png;
Number: 25; Pokemon: pikachu; Give: 2Spe; Photo https://pokemongolife.ru/p/Pikachu.png;
Number: 26; Pokemon: raichu; Give: 3Spe; Photo https://pokemongolife.ru/p/Raichu.png;
Number: 27; Pokemon: sandshrew; Give: 1Def; Photo https://pokemongolife.ru/p/Sandshrew.png;
Number: 28; Pokemon: sandslash; Give: 2Def; Photo https://pokemongolife.ru/p/Sandslash.png;
Number: 29; Pokemon: nidoran; Give: �: 1HP, �: 1Atk; Photo https://pokemongolife.ru/p/Nidoran-female.png;
Number: 30; Pokemon: nidorino; Give: 2Atk; Photo https://pokemongolife.ru/p/Nidorino.png;
Number: 31; Pokemon: nidoqueen; Give: 3HP; Photo https://pokemongolife.ru/p/Nidoqueen.png;
Number: 32; Pokemon: nidoking; Give: 3Atk; Photo https://pokemongolife.ru/p/Nidoking.png;
Number: 33; Pokemon: clefairy; Give: 2HP; Photo https://pokemongolife.ru/p/Clefairy.png;
Number: 34; Pokemon: clefable; Give: 3HP; Photo https://pokemongolife.ru/p/Clefable.png;
Number: 35; Pokemon: vulpix; Give: 1Spe; Photo https://pokemongolife.ru/p/Vulpix.png;
Number: 36; Pokemon: ninetales; Give: 1SpD, 1Spe; Photo https://pokemongolife.ru/p/Ninetales.png;
Number: 37; Pokemon: jugglypuff; Give: 2HP; Photo https://pokemongolife.ru/p/Jigglypuff.png;
Number: 38; Pokemon: wigglypuff; Give: 3HP; Photo https://pokemongolife.ru/p/Wigglypuff.png;
Number: 39; Pokemon: zubat; Give: 1Spe; Photo https://pokemongolife.ru/p/Zubat.png;
Number: 40; Pokemon: golbat; Give: 2Spe; Photo https://pokemongolife.ru/p/Golbat.png;
Number: 41; Pokemon: oddish; Give: 1SpA; Photo https://pokemongolife.ru/p/Oddish.png;
Number: 42; Pokemon: gloom; Give: 2SpA; Photo https://pokemongolife.ru/p/Gloom.png;
Number: 43; Pokemon: vileplume; Give: 3SpA; Photo https://pokemongolife.ru/p/Vileplume.png;
Number: 44; Pokemon: paras; Give: 1Atk; Photo https://pokemongolife.ru/p/Paras.png;
Number: 45; Pokemon: parasect; Give: 2Atk; Photo https://pokemongolife.ru/p/Parasect.png;
Number: 46; Pokemon: venonat; Give: 1SpD; Photo https://pokemongolife.ru/p/Venonat.png;
Number: 47; Pokemon: venomoth; Give: 1SpA, 1Spe; Photo https://pokemongolife.ru/p/Venomoth.png;
Number: 48; Pokemon: diglett; Give: 1Spe; Photo https://pokemongolife.ru/p/Diglett.png;
Number: 49; Pokemon: dugtrio; Give: 2Spe; Photo https://pokemongolife.ru/p/Dugtrio.png;
Number: 50; Pokemon: meowth; Give: 1Spe; Photo https://pokemongolife.ru/p/Meowth.png;
Number: 51; Pokemon: persian; Give: 2Spe; Photo https://pokemongolife.ru/p/Persian.png;
Number: 52; Pokemon: psyduck; Give: 1SpA; Photo https://pokemongolife.ru/p/Psyduck.png;
Number: 53; Pokemon: golduck; Give: 2SpA; Photo https://pokemongolife.ru/p/Golduck.png;
Number: 54; Pokemon: mankey; Give: 1Atk; Photo https://pokemongolife.ru/p/Mankey.png;
Number: 55; Pokemon: primeape; Give: 2Atk; Photo https://pokemongolife.ru/p/Primeape.png;
Number: 56; Pokemon: growlithe; Give: 1Atk; Photo https://pokemongolife.ru/p/Growlithe.png;
Number: 57; Pokemon: arcanine; Give: 2Atk; Photo https://pokemongolife.ru/p/Arcanine.png;
